"","symbol","company","exchange","date.x","price","currency","actions","date.y","open","close","adjusted","returns","year"
"823","601377.SS","Industrial Securities Co Ltd","Shanghai",2010-10-13,10,"CNY","Priced",2010-10-13,6.89789,6.99199,6.002764,-0.300801,2010
"824","601788.SS","Everbright Securities Co","Shanghai",2009-08-18,21.08,"CNY","Priced",2009-08-18,30,27.4,22.885992,0.299810246679317,2009
"825","2288.HK","Sundart International Holdings","HKSE",2009-08-21,4.18,"HKD","Priced",2009-08-21,4.35,3.88,1.917506,-0.0717703349282296,2009
"826","GUNKUL.BK","Gunkul Engineering PCL","Thailand",2010-10-19,5.4,"THB","Priced",2010-10-19,0.76364,0.67013,0.51791,-0.875901851851852,2010
"827","5PC.SI","Goodland Group Ltd","SI",2009-10-08,0.2,"SGD","Priced",2009-10-08,0.28,0.275,0.231621,0.375,2009
"828","1628.HK","Yuzhou Properties Co Ltd","HKSE",2009-11-02,2.7,"HKD","Priced",2009-11-02,1.70139,1.88889,1.021571,-0.300411111111111,2009
"829","0633.HK","China All Access Holdings Ltd","HKSE",2009-09-16,1.6,"HKD","Priced",2009-09-16,1.73,1.81,1.340534,0.13125,2009
"830","601117.SS","China Natl Chem Engineering Co","Shanghai",2010-01-07,5.43,"CNY","Priced",2010-01-07,5.76,5.75,5.225874,0.0589318600368325,2010
"831","NWBI","Northwest Bancshares Inc","NASDQ",2009-12-18,10,"USD","Priced",2000-01-03,3.138889,3.138889,1.198791,-0.6861111,2009
"832","8213.TW","Taiwan PCB Techvest Co Ltd","Taiwan",2009-12-25,32,"TWD","Priced",2009-12-25,59.932701,59.756401,35.945591,0.86738753125,2009
"833","MYR.AX","Myer Holdings Ltd","ASX",2009-11-02,4.1,"AUD","Priced",2009-11-01,3.63263,3.51092,2.023319,-0.143678048780488,2009
"834","PCI.WA","PCC Intermodal SA","Warsaw",2009-12-28,3,"PLN","Priced",2010-02-08,3.7,3.7,3.7,0.233333333333333,2009
"835","BVT.JO","Bidvest Namibia Ltd","Johannesburg",2010-03-15,7.2,"NAD","Priced",2003-12-08,12.1967,12.1415,2.7161,0.686319444444444,2010
"836","KMD.AX","Kathmandu Holdings Ltd","ASX",2009-11-13,1.7,"AUD","Priced",2009-11-12,1.775,1.76,1.063311,0.0352941176470589,2009
"837","GNRC","Generac Holdings Inc","NYSE",2010-02-11,13,"USD","Priced",2010-02-11,13,12.84,8.460629,-0.0123076923076924,2010
"838","PRI","Primerica Inc","NYSE",2010-04-01,15,"USD","Priced",2010-04-01,19.15,19.65,18.142756,0.31,2010
"839","GDST.JK","Gunawan Dianjaya Steel Tbk PT","Jakarta",2009-12-23,160,"IDR","Priced",2009-12-23,131,131,131,-0.18125,2009
"840","CGR.AX","Careers Multilist Ltd","ASX",2010-02-23,0.2,"AUD","Priced",2010-02-22,0.20192,0.20192,0.13835,0.00959999999999983,2010
"841","601688.SS","Huatai Securities Co Ltd","Shanghai",2010-02-26,20,"CNY","Priced",2010-02-26,21.01,21.059999,18.497835,0.05299995,2010
"842","IVL.BK","Indorama Ventures PCL","Thailand",2010-02-05,10.2,"THB","Priced",2010-02-05,9.73097,9.73097,8.096854,-0.0459833333333334,2010
"843","MTU.V","Manitou Gold Inc","TSXV",2010-03-08,0.25,"CAD","Priced",2010-03-08,0.35,0.5,0.5,1,2010
"844","3688.HK","Top Spring Intl Hldg Ltd","HKSE",2011-03-23,6.23,"HKD","Priced",2011-03-23,4.42143,3.78571,2.135333,-0.392341894060995,2011
"845","601877.SS","Zhejiang Chint Electrics Co","Shanghai",2010-01-21,23.98,"CNY","Priced",2010-01-21,20.3923,22.176901,15.641564,-0.0751917848206839,2010
"846","BPAC3.SA","Banco BTG Pactual SA","Sao Paolo",2012-04-26,31.25,"BRL","Priced",2016-07-11,4.6,4.6,3.872456,-0.8528,2012
"847","BPAC3.SA","Banco BTG Pactual SA","Sao Paolo",2012-04-26,12.6,"EUR","Priced",2016-07-11,4.6,4.6,3.872456,-0.634920634920635,2012
"848","601158.SS","Chongqing Water Group Co Ltd","Shanghai",2010-03-29,6.98,"CNY","Priced",2010-03-29,10.99,12.1,8.889606,0.733524355300859,2010
"849","1811.HK","CGN Meiya Power Hldg Co Ltd","HKSE",2014-10-03,1.71,"HKD","Priced",2014-10-03,1.93,1.96,1.807581,0.146198830409357,2014
"850","2222.HK","NVC Lighting Holding Ltd","HKSE",2010-05-20,2.1,"HKD","Priced",2010-05-20,2.1,2.04,1.816766,-0.0285714285714286,2010
"851","BIPI.JK","Benakat Petroleum Energy","Jakarta",2010-02-11,140,"IDR","Priced",2010-02-11,191,191,189.381348,0.364285714285714,2010
"852","RYI","Ryerson Holding Corp","NYSE",2014-08-08,11,"USD","Priced",2014-08-08,10.35,10.3,10.3,-0.0636363636363636,2014
